year,loan_limit,gender,approv_in_adv,loan_type,loan_purpose,credit_worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,interest_rate_spread,upfront_charges,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,security_type,status,dtir1
2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,116500,,,,360.0,not_neg,not_int,not_lpsm,118000.0,sb,pr,home,1U,1740.0,EXP,758,CIB,25-34,to_inst,98.72881356,south,direct,1,45.0
2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,206500,,,,360.0,not_neg,not_int,lpsm,,sb,pr,home,1U,4980.0,EQUI,552,EXP,55-64,to_inst,,North,direct,1,
2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,406500,4.56,0.2,595.0,360.0,neg_amm,not_int,not_lpsm,508000.0,sb,pr,home,1U,9480.0,EXP,834,CIB,35-44,to_inst,80.01968504,south,direct,0,46.0
2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,456500,4.25,0.681,,360.0,not_neg,not_int,not_lpsm,658000.0,sb,pr,home,1U,11880.0,EXP,587,CIB,45-54,not_inst,69.3768997,North,direct,0,42.0
2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,696500,4.0,0.3042,0.0,360.0,not_neg,not_int,not_lpsm,758000.0,sb,pr,home,1U,10440.0,CRIF,602,EXP,25-34,not_inst,91.88654354,North,direct,0,39.0
2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,706500,3.99,0.1523,370.0,360.0,not_neg,not_int,not_lpsm,1008000.0,sb,pr,home,1U,10080.0,EXP,864,EXP,35-44,not_inst,70.08928571,North,direct,0,40.0
2019,cf,Joint,pre,type1,p3,l1,nopc,nob/c,346500,4.5,0.9998,5120.0,360.0,not_neg,not_int,not_lpsm,438000.0,sb,pr,home,1U,5040.0,EXP,860,EXP,55-64,to_inst,79.10958904,North,direct,0,44.0
2019,,Female,nopre,type1,p4,l1,nopc,nob/c,266500,4.125,0.2975,5609.88,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,3780.0,CIB,863,CIB,55-64,to_inst,86.52597403,North,direct,0,42.0
2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,376500,4.875,0.7395,1150.0,360.0,not_neg,not_int,not_lpsm,478000.0,sb,pr,home,1U,5580.0,CIB,580,EXP,55-64,to_inst,78.76569038,central,direct,0,44.0
2019,cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,436500,3.49,-0.2776,2316.5,360.0,not_neg,not_int,not_lpsm,688000.0,sb,pr,home,1U,6720.0,CIB,788,EXP,55-64,to_inst,63.44476744,south,direct,0,30.0
2019,cf,Male,nopre,type2,p3,l2,nopc,b/c,136500,,,,300.0,neg_amm,not_int,not_lpsm,168000.0,sb,pr,home,1U,4020.0,EXP,723,CIB,55-64,to_inst,81.25,North,direct,1,44.0
2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,466500,4.375,0.1871,1150.0,360.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,9540.0,EXP,501,EXP,35-44,to_inst,65.88983051,south,direct,0,36.0
2019,cf,Joint,nopre,type2,p3,l1,nopc,b/c,206500,,,,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,3780.0,CRIF,884,EXP,65-74,to_inst,80.03875969,North,direct,1,51.0
2019,cf,Joint,nopre,type2,p4,l1,nopc,b/c,436500,3.625,0.6146,0.0,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,,CRIF,520,EXP,55-64,to_inst,85.92519685,North,direct,0,
2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,226500,4.5,0.4657,3953.13,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,7860.0,CIB,773,CIB,35-44,to_inst,76.00671141,North,direct,0,39.0
2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,76500,,,,360.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1U,2220.0,EXP,685,CIB,45-54,not_inst,55.43478261,North,direct,1,20.0
2019,cf,Joint,nopre,type2,p1,l1,nopc,b/c,356500,,,,360.0,neg_amm,not_int,not_lpsm,368000.0,sb,pr,home,1U,5340.0,CRIF,846,EXP,25-34,not_inst,96.875,North,direct,1,44.0
2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,156500,,,,360.0,neg_amm,not_int,not_lpsm,168000.0,sb,pr,home,1U,3120.0,CRIF,534,CIB,65-74,to_inst,93.1547619,North,direct,1,44.0
2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,406500,4.56,0.458,895.0,360.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,5340.0,CIB,629,CIB,45-54,not_inst,67.97658863,North,direct,0,44.0
2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,586500,3.175,-0.3446,650.0,360.0,not_neg,not_int,not_lpsm,748000.0,sb,sr,home,1U,12540.0,CIB,688,EXP,55-64,to_inst,78.40909091,south,direct,0,31.0
2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,306500,2.99,0.2837,10470.0,180.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,16860.0,EXP,668,EXP,65-74,to_inst,54.92831541,North,direct,0,6.0
2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,136500,3.99,0.4819,4156.25,360.0,not_neg,not_int,not_lpsm,198000.0,sb,pr,home,1U,2100.0,EXP,758,CIB,>74,to_inst,68.93939394,North,direct,0,36.0
2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,306500,,,,360.0,not_neg,not_int,not_lpsm,448000.0,sb,pr,home,1U,2880.0,EXP,692,CIB,55-64,to_inst,68.41517857,south,direct,1,44.0
2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,316500,3.625,0.0454,6661.88,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,2760.0,CIB,620,CIB,65-74,not_inst,62.30314961,south,direct,0,44.0
2019,cf,Male,nopre,type1,p3,l2,nopc,nob/c,336500,4.5,0.0759,0.0,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,4980.0,CIB,846,CIB,35-44,not_inst,78.62149533,south,direct,0,35.0
2019,,Joint,nopre,type1,p3,l1,nopc,nob/c,426500,4.99,1.2706,169.5,360.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,8940.0,EXP,533,EXP,45-54,not_inst,75.08802817,North,direct,0,34.0
2019,cf,Joint,nopre,type3,p1,l1,nopc,nob/c,476500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6780.0,EQUI,518,EXP,45-54,to_inst,,south,direct,1,
2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,196500,5.25,1.2158,5245.09,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,3840.0,EXP,812,EXP,25-34,to_inst,76.1627907,south,direct,0,49.0
2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,186500,4.25,1.0186,5376.25,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,3840.0,CRIF,534,CIB,55-64,to_inst,85.55045872,central,direct,0,46.0
2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,436500,3.625,0.266,6260.0,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,4920.0,CIB,647,EXP,35-44,not_inst,93.26923077,south,direct,0,42.0
2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,246500,4.25,1.4614,0.0,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,5400.0,EXP,683,CIB,25-34,not_inst,95.54263566,North,direct,0,39.0
